id,src_product,dst_product,ql,coverage,cf_view,seam,defined_in,tracked_by
H0->H0,Central,Central,,I,CF1,self:Central,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR)
H0->H1,Central,Actuation,A1,H,CF2,01:grounded-agency,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/Actuation#4
H0->H2,Central,AIKit,,L,CF3,02:ground-context,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/ai-kit#58(PR)
H0->H3,Central,Factory,,L,CF4,03:ground-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/agent-system-design#142(PR)
H0->H4,Central,Workcell,,W,CF5/CF6-field,04:ground-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/Workcell#18(PR)
H0->H5,Central,QL,B3|C1,H,CF7,05/50:ground-synthesis,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/QL-MEF#19(PR)
H0->A0,Central,Central,D1,H,CF1,conjugation:Central,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR)
H0->A1,Central,Actuation,D2-transform,H,CF2,01:grounded-agency,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/Actuation#4
H0->A2,Central,AIKit,,L,CF3,02:ground-context,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/ai-kit#58(PR)
H0->A3,Central,Factory,,L,CF4,03:ground-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/agent-system-design#142(PR)
H0->A4,Central,Workcell,,W,CF5/CF6-field,04:ground-materialisation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/Workcell#18(PR)
H0->A5,Central,QL,D2-require|D2-complete,H,CF7,05/50:ground-synthesis,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/QL-MEF#19(PR)
H1->H0,Actuation,Central,A1,H,CF2,01:grounded-agency,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/Actuation#4
H1->H1,Actuation,Actuation,,I,CF2,self:Actuation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/Actuation#4
H1->H2,Actuation,AIKit,B1,H,CF3,12:agency-operative-body,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/ai-kit#58(PR)
H1->H3,Actuation,Factory,,S,CF4,13:agency-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/agent-system-design#142(PR)
H1->H4,Actuation,Workcell,C2,H,CF5-field,14:agency-embodiment,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/Workcell#18(PR)
H1->H5,Actuation,QL,,S,,15:agency-ql,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/QL-MEF#19(PR)
H1->A0,Actuation,Central,D2-require,H,CF2,01:grounded-agency,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Central#24(PR);EpiLogos/Actuation#4
H1->A1,Actuation,Actuation,D1,H,CF2,conjugation:Actuation,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/Actuation#4
H1->A2,Actuation,AIKit,D2-transform,H,CF3,12:agency-operative-body,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/ai-kit#58(PR)
H1->A3,Actuation,Factory,,S,CF4,13:agency-development,O-I:docs/CANONICAL-PRODUCT-FIELD.md|QL-MEF#19(PR),EpiLogos/O-I#29;EpiLogos/Actuation#1;EpiLogos/agent-system-design#142(PR)
